applicant_id,age,monthly_income,credit_limit,existing_debt,employment_years,num_existing_loans,pay_1,pay_2,pay_3,pay_4,pay_5,pay_6,pay_7,pay_8,pay_9,pay_10,pay_11,pay_12
A001,45,30931.0,95959.0,75976.0,9.7,2,0,-1,-1,0,0,-1,-1,0,0,-1,0,0
A002,67,44930.0,117663.0,7873.0,5.3,0,2,4,2,4,3,-1,0,1,3,4,2,0
A003,45,46269.0,145288.0,49348.0,7.2,2,0,1,0,0,1,0,0,-1,-1,4,2,4
A004,50,72938.0,204801.0,67912.0,3.4,5,1,0,-1,-1,0,-1,-1,2,0,-1,-1,-1
A005,36,39798.0,85941.0,37331.0,2.8,1,-1,2,-1,-1,-1,-1,2,1,-1,3,3,1
A006,49,76435.0,251288.0,42866.0,0.9,2,-1,-1,1,0,-1,-1,1,0,-1,-1,0,0
A007,43,64448.0,245706.0,52870.0,9.7,3,-1,0,3,4,0,0,3,0,0,0,0,-1
A008,55,133931.0,349003.0,73718.0,5.2,3,3,-1,0,0,0,0,-1,0,0,0,-1,0
A009,67,59940.0,343087.0,66948.0,17.5,3,-1,-1,0,0,0,-1,-1,0,-1,-1,-1,0
A010,33,60948.0,261091.0,212918.0,1.6,2,0,0,1,1,4,4,0,3,0,0,2,4
A011,47,50633.0,236045.0,157379.0,5.0,1,4,0,0,-1,-1,0,0,0,1,2,-1,-1
A012,51,43149.0,108847.0,29955.0,4.3,1,0,-1,0,0,0,-1,3,0,-1,0,-1,2
A013,60,36636.0,146854.0,42633.0,3.9,2,0,3,1,2,2,1,-1,1,2,2,3,2
A014,33,17090.0,71979.0,15536.0,6.4,3,-1,0,-1,1,0,4,3,-1,-1,0,0,-1
A015,27,33165.0,93950.0,40430.0,0.6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
A016,40,58079.0,170535.0,14863.0,1.5,3,0,4,3,2,3,4,3,3,3,1,1,0
A017,58,31133.0,98581.0,34359.0,0.4,4,2,4,3,1,0,0,0,-1,-1,-1,-1,4
A018,53,67785.0,250808.0,174320.0,5.0,5,-1,0,0,-1,-1,0,0,0,0,-1,-1,-1
